Data,Valor,Identificador,Descrição
2026-07-13,-10.00,STG-STRESS-0293,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-14,-10.00,STG-STRESS-0294,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-15,-10.00,STG-STRESS-0295,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-16,-10.00,STG-STRESS-0296,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-17,-10.00,STG-STRESS-0297,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-18,-10.00,STG-STRESS-0298,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-19,-10.00,STG-STRESS-0299,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-20,1000.00,STG-STRESS-0300,STG-QA PIX RECEBIDO RECORRENTE
2026-07-21,-10.00,STG-STRESS-0301,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-22,-10.00,STG-STRESS-0302,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-23,-10.00,STG-STRESS-0303,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-24,-10.00,STG-STRESS-0304,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-25,-10.00,STG-STRESS-0305,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-26,-10.00,STG-STRESS-0306,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-27,-10.00,STG-STRESS-0307,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-28,-10.00,STG-STRESS-0308,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-01,-10.00,STG-STRESS-0309,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-02,1000.00,STG-STRESS-0310,STG-QA PIX RECEBIDO RECORRENTE
2026-07-03,-10.00,STG-STRESS-0311,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-04,-10.00,STG-STRESS-0312,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-05,-10.00,STG-STRESS-0313,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-06,-10.00,STG-STRESS-0314,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-07,-10.00,STG-STRESS-0315,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-08,-10.00,STG-STRESS-0316,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-09,-10.00,STG-STRESS-0317,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-10,-10.00,STG-STRESS-0318,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-11,-10.00,STG-STRESS-0319,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-12,1000.00,STG-STRESS-0320,STG-QA PIX RECEBIDO RECORRENTE
2026-07-13,-10.00,STG-STRESS-0321,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-14,-10.00,STG-STRESS-0322,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-15,-10.00,STG-STRESS-0323,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-16,-10.00,STG-STRESS-0324,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-17,-10.00,STG-STRESS-0325,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-18,-10.00,STG-STRESS-0326,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-19,-10.00,STG-STRESS-0327,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-20,-10.00,STG-STRESS-0328,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-21,-10.00,STG-STRESS-0329,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-22,1000.00,STG-STRESS-0330,STG-QA PIX RECEBIDO RECORRENTE
2026-07-23,-10.00,STG-STRESS-0331,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-24,-10.00,STG-STRESS-0332,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-25,-10.00,STG-STRESS-0333,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-26,-10.00,STG-STRESS-0334,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-27,-10.00,STG-STRESS-0335,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-28,-10.00,STG-STRESS-0336,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-01,-10.00,STG-STRESS-0337,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-02,-10.00,STG-STRESS-0338,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-03,-10.00,STG-STRESS-0339,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-04,1000.00,STG-STRESS-0340,STG-QA PIX RECEBIDO RECORRENTE
2026-07-05,-10.00,STG-STRESS-0341,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-06,-10.00,STG-STRESS-0342,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-07,-10.00,STG-STRESS-0343,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-08,-10.00,STG-STRESS-0344,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-09,-10.00,STG-STRESS-0345,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-10,-10.00,STG-STRESS-0346,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-11,-10.00,STG-STRESS-0347,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-12,-10.00,STG-STRESS-0348,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-13,-10.00,STG-STRESS-0349,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-14,1000.00,STG-STRESS-0350,STG-QA PIX RECEBIDO RECORRENTE
2026-07-15,-10.00,STG-STRESS-0351,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-16,-10.00,STG-STRESS-0352,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-17,-10.00,STG-STRESS-0353,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-18,-10.00,STG-STRESS-0354,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-19,-10.00,STG-STRESS-0355,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-20,-10.00,STG-STRESS-0356,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-21,-10.00,STG-STRESS-0357,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-22,-10.00,STG-STRESS-0358,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-23,-10.00,STG-STRESS-0359,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-24,1000.00,STG-STRESS-0360,STG-QA PIX RECEBIDO RECORRENTE
2026-07-25,-10.00,STG-STRESS-0361,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-26,-10.00,STG-STRESS-0362,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-27,-10.00,STG-STRESS-0363,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-28,-10.00,STG-STRESS-0364,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-01,-10.00,STG-STRESS-0365,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-02,-10.00,STG-STRESS-0366,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-03,-10.00,STG-STRESS-0367,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-04,-10.00,STG-STRESS-0368,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-05,-10.00,STG-STRESS-0369,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-06,1000.00,STG-STRESS-0370,STG-QA PIX RECEBIDO RECORRENTE
2026-07-07,-10.00,STG-STRESS-0371,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-08,-10.00,STG-STRESS-0372,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-09,-10.00,STG-STRESS-0373,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-10,-10.00,STG-STRESS-0374,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-11,-10.00,STG-STRESS-0375,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-12,-10.00,STG-STRESS-0376,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-13,-10.00,STG-STRESS-0377,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-14,-10.00,STG-STRESS-0378,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-15,-10.00,STG-STRESS-0379,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-16,1000.00,STG-STRESS-0380,STG-QA PIX RECEBIDO RECORRENTE
2026-07-17,-10.00,STG-STRESS-0381,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-18,-10.00,STG-STRESS-0382,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-19,-10.00,STG-STRESS-0383,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-20,-10.00,STG-STRESS-0384,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-21,-10.00,STG-STRESS-0385,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-22,-10.00,STG-STRESS-0386,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-23,-10.00,STG-STRESS-0387,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-24,-10.00,STG-STRESS-0388,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-25,-10.00,STG-STRESS-0389,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-26,1000.00,STG-STRESS-0390,STG-QA PIX RECEBIDO RECORRENTE
2026-07-27,-10.00,STG-STRESS-0391,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-28,-10.00,STG-STRESS-0392,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-01,-10.00,STG-STRESS-0393,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-02,-10.00,STG-STRESS-0394,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-03,-10.00,STG-STRESS-0395,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-04,-10.00,STG-STRESS-0396,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-05,-10.00,STG-STRESS-0397,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-06,-10.00,STG-STRESS-0398,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-07,-10.00,STG-STRESS-0399,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-08,1000.00,STG-STRESS-0400,STG-QA PIX RECEBIDO RECORRENTE
2026-07-09,-10.00,STG-STRESS-0401,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-10,-10.00,STG-STRESS-0402,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-11,-10.00,STG-STRESS-0403,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-12,-10.00,STG-STRESS-0404,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-13,-10.00,STG-STRESS-0405,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-14,-10.00,STG-STRESS-0406,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-15,-10.00,STG-STRESS-0407,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-16,-10.00,STG-STRESS-0408,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-17,-10.00,STG-STRESS-0409,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-18,1000.00,STG-STRESS-0410,STG-QA PIX RECEBIDO RECORRENTE
2026-07-19,-10.00,STG-STRESS-0411,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-20,-10.00,STG-STRESS-0412,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-21,-10.00,STG-STRESS-0413,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-22,-10.00,STG-STRESS-0414,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-23,-10.00,STG-STRESS-0415,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-24,-10.00,STG-STRESS-0416,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-25,-10.00,STG-STRESS-0417,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-26,-10.00,STG-STRESS-0418,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-27,-10.00,STG-STRESS-0419,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-28,1000.00,STG-STRESS-0420,STG-QA PIX RECEBIDO RECORRENTE
2026-07-01,-10.00,STG-STRESS-0421,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-02,-10.00,STG-STRESS-0422,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-03,-10.00,STG-STRESS-0423,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-04,-10.00,STG-STRESS-0424,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-05,-10.00,STG-STRESS-0425,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-06,-10.00,STG-STRESS-0426,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-07,-10.00,STG-STRESS-0427,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-08,-10.00,STG-STRESS-0428,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-09,-10.00,STG-STRESS-0429,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-10,1000.00,STG-STRESS-0430,STG-QA PIX RECEBIDO RECORRENTE
2026-07-11,-10.00,STG-STRESS-0431,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-12,-10.00,STG-STRESS-0432,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-13,-10.00,STG-STRESS-0433,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-14,-10.00,STG-STRESS-0434,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-15,-10.00,STG-STRESS-0435,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-16,-10.00,STG-STRESS-0436,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-17,-10.00,STG-STRESS-0437,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-18,-10.00,STG-STRESS-0438,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-19,-10.00,STG-STRESS-0439,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-20,1000.00,STG-STRESS-0440,STG-QA PIX RECEBIDO RECORRENTE
2026-07-21,-10.00,STG-STRESS-0441,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-22,-10.00,STG-STRESS-0442,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-23,-10.00,STG-STRESS-0443,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-24,-10.00,STG-STRESS-0444,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-25,-10.00,STG-STRESS-0445,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-26,-10.00,STG-STRESS-0446,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-27,-10.00,STG-STRESS-0447,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-28,-10.00,STG-STRESS-0448,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-01,-10.00,STG-STRESS-0449,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-02,1000.00,STG-STRESS-0450,STG-QA PIX RECEBIDO RECORRENTE
2026-07-03,-10.00,STG-STRESS-0451,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-04,-10.00,STG-STRESS-0452,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-05,-10.00,STG-STRESS-0453,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-06,-10.00,STG-STRESS-0454,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-07,-10.00,STG-STRESS-0455,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-08,-10.00,STG-STRESS-0456,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-09,-10.00,STG-STRESS-0457,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-10,-10.00,STG-STRESS-0458,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-11,-10.00,STG-STRESS-0459,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-12,1000.00,STG-STRESS-0460,STG-QA PIX RECEBIDO RECORRENTE
2026-07-13,-10.00,STG-STRESS-0461,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-14,-10.00,STG-STRESS-0462,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-15,-10.00,STG-STRESS-0463,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-16,-10.00,STG-STRESS-0464,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-17,-10.00,STG-STRESS-0465,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-18,-10.00,STG-STRESS-0466,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-19,-10.00,STG-STRESS-0467,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-20,-10.00,STG-STRESS-0468,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-21,-10.00,STG-STRESS-0469,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-22,1000.00,STG-STRESS-0470,STG-QA PIX RECEBIDO RECORRENTE
2026-07-23,-10.00,STG-STRESS-0471,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-24,-10.00,STG-STRESS-0472,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-25,-10.00,STG-STRESS-0473,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-26,-10.00,STG-STRESS-0474,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-27,-10.00,STG-STRESS-0475,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-28,-10.00,STG-STRESS-0476,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-01,-10.00,STG-STRESS-0477,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-02,-10.00,STG-STRESS-0478,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-03,-10.00,STG-STRESS-0479,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-04,1000.00,STG-STRESS-0480,STG-QA PIX RECEBIDO RECORRENTE
2026-07-05,-10.00,STG-STRESS-0481,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-06,-10.00,STG-STRESS-0482,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-07,-10.00,STG-STRESS-0483,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-08,-10.00,STG-STRESS-0484,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-09,-10.00,STG-STRESS-0485,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-10,-10.00,STG-STRESS-0486,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-11,-10.00,STG-STRESS-0487,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-12,-10.00,STG-STRESS-0488,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-13,-10.00,STG-STRESS-0489,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-14,1000.00,STG-STRESS-0490,STG-QA PIX RECEBIDO RECORRENTE
2026-07-15,-10.00,STG-STRESS-0491,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-16,-10.00,STG-STRESS-0492,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-17,-10.00,STG-STRESS-0493,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-18,-10.00,STG-STRESS-0494,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-19,-10.00,STG-STRESS-0495,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-20,-10.00,STG-STRESS-0496,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-21,-10.00,STG-STRESS-0497,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-22,-10.00,STG-STRESS-0498,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-23,-10.00,STG-STRESS-0499,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-24,1000.00,STG-STRESS-0500,STG-QA PIX RECEBIDO RECORRENTE
2026-07-25,-10.00,STG-STRESS-0501,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-26,-10.00,STG-STRESS-0502,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-27,-10.00,STG-STRESS-0503,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-28,-10.00,STG-STRESS-0504,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-01,-10.00,STG-STRESS-0505,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-02,-10.00,STG-STRESS-0506,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-03,-10.00,STG-STRESS-0507,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-04,-10.00,STG-STRESS-0508,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-05,-10.00,STG-STRESS-0509,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-06,1000.00,STG-STRESS-0510,STG-QA PIX RECEBIDO RECORRENTE
2026-07-07,-10.00,STG-STRESS-0511,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-08,-10.00,STG-STRESS-0512,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-09,-10.00,STG-STRESS-0513,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-10,-10.00,STG-STRESS-0514,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-11,-10.00,STG-STRESS-0515,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-12,-10.00,STG-STRESS-0516,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-13,-10.00,STG-STRESS-0517,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-14,-10.00,STG-STRESS-0518,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-15,-10.00,STG-STRESS-0519,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-16,1000.00,STG-STRESS-0520,STG-QA PIX RECEBIDO RECORRENTE
2026-07-17,-10.00,STG-STRESS-0521,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-18,-10.00,STG-STRESS-0522,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-19,-10.00,STG-STRESS-0523,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-20,-10.00,STG-STRESS-0524,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-21,-10.00,STG-STRESS-0525,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-22,-10.00,STG-STRESS-0526,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-23,-10.00,STG-STRESS-0527,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-24,-10.00,STG-STRESS-0528,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-25,-10.00,STG-STRESS-0529,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-26,1000.00,STG-STRESS-0530,STG-QA PIX RECEBIDO RECORRENTE
2026-07-27,-10.00,STG-STRESS-0531,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-28,-10.00,STG-STRESS-0532,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-01,-10.00,STG-STRESS-0533,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-02,-10.00,STG-STRESS-0534,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-03,-10.00,STG-STRESS-0535,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-04,-10.00,STG-STRESS-0536,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-05,-10.00,STG-STRESS-0537,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-06,-10.00,STG-STRESS-0538,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-07,-10.00,STG-STRESS-0539,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-08,1000.00,STG-STRESS-0540,STG-QA PIX RECEBIDO RECORRENTE
2026-07-09,-10.00,STG-STRESS-0541,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-10,-10.00,STG-STRESS-0542,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-11,-10.00,STG-STRESS-0543,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-12,-10.00,STG-STRESS-0544,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-13,-10.00,STG-STRESS-0545,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-14,-10.00,STG-STRESS-0546,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-15,-10.00,STG-STRESS-0547,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-16,-10.00,STG-STRESS-0548,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-17,-10.00,STG-STRESS-0549,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-18,1000.00,STG-STRESS-0550,STG-QA PIX RECEBIDO RECORRENTE
2026-07-19,-10.00,STG-STRESS-0551,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-20,-10.00,STG-STRESS-0552,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-21,-10.00,STG-STRESS-0553,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-22,-10.00,STG-STRESS-0554,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-23,-10.00,STG-STRESS-0555,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-24,-10.00,STG-STRESS-0556,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-25,-10.00,STG-STRESS-0557,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-26,-10.00,STG-STRESS-0558,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-27,-10.00,STG-STRESS-0559,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-28,1000.00,STG-STRESS-0560,STG-QA PIX RECEBIDO RECORRENTE
2026-07-01,-10.00,STG-STRESS-0561,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-02,-10.00,STG-STRESS-0562,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-03,-10.00,STG-STRESS-0563,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-04,-10.00,STG-STRESS-0564,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-05,-10.00,STG-STRESS-0565,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-06,-10.00,STG-STRESS-0566,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-07,-10.00,STG-STRESS-0567,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-08,-10.00,STG-STRESS-0568,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-09,-10.00,STG-STRESS-0569,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-10,1000.00,STG-STRESS-0570,STG-QA PIX RECEBIDO RECORRENTE
2026-07-11,-10.00,STG-STRESS-0571,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-12,-10.00,STG-STRESS-0572,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-13,-10.00,STG-STRESS-0573,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-14,-10.00,STG-STRESS-0574,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-15,-10.00,STG-STRESS-0575,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-16,-10.00,STG-STRESS-0576,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-17,-10.00,STG-STRESS-0577,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-18,-10.00,STG-STRESS-0578,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-19,-10.00,STG-STRESS-0579,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-20,1000.00,STG-STRESS-0580,STG-QA PIX RECEBIDO RECORRENTE
2026-07-21,-10.00,STG-STRESS-0581,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-22,-10.00,STG-STRESS-0582,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-23,-10.00,STG-STRESS-0583,STG-QA COMPRA REPETIDA MESMO VALOR
2026-07-24,-10.00,STG-STRESS-0584,STG-QA COMPRA REPETIDA MESMO VALOR
